time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.0125221866341048e-08,1.6553271795738073e-06,10.008351824627022,0.0009032206767844997,6.282814664934486,0.0,1.8856527225018387e-05,0.0001262655989663703,0.278367438977583,0.03497005382245959,-0.02290431641163535,0.0,490.54796819424917,488.84459000362006,489.48650079912426,492.08151251626185
0.12000000000000001,1.4260389523185744e-05,3.738575122473616e-05,10.02900513175604,0.003229314199894695,6.281784248360726,0.0,0.0005820171040422585,0.0013017125668383946,0.41003693073664377,0.045447935369756956,-0.007651583825997677,0.0,447.0129328636687,448.2539884346211,445.80996060770946,446.66586187650216
0.18,8.522547966596268e-05,0.0002059090326118151,10.06013898708789,0.006045958157079312,6.281050538677219,0.0,0.001852080670950684,0.004646583541933396,0.6276622472987342,0.049779075950982264,-0.02346634025712173,0.0,473.3138651125067,472.09547851524104,473.05072604930393,473.3852405019816
0.23999999999999996,0.00024163130164492772,0.0006112836393451573,10.099200552041804,0.009688849678958,6.279108911443002,0.0,0.0035064382511190775,0.009183338385658938,0.6743605058083629,0.07658891667894215,-0.06349421944884799,0.0,422.60833216883174,419.1435745175948,418.09790322510673,420.4295775937788
0.3,0.000534075090293803,0.001342920046194032,10.139147882272939,0.013990666789546857,6.275042811871467,0.0,0.006573645864905645,0.0155833150997607,0.6572212606265949,0.05947994944921001,-0.07808570348539665,0.0,399.05252898182835,397.71438406211536,399.38864050451554,397.82987276591905
0.36000000000000004,0.0011019008798573914,0.0025605149695343927,10.180209926124906,0.01755718861941169,6.270727556889419,0.0,0.012780089891715944,0.025342375940803494,0.7114715501882082,0.05936611818103878,-0.06180598661590476,0.0,421.3686993706703,422.7691069903945,423.18921789550615,423.1821002968311
0.4200000000000001,0.0021918219909892052,0.004529015967810126,10.229819496238175,0.02065836688546785,6.2670519029592135,0.0,0.023996473242428304,0.04068520124330917,0.9420050584744963,0.02828170510275891,-0.06019289102694387,0.0,475.8402690178784,475.9613105844377,479.54247156113206,477.1771204234667
0.48000000000000015,0.003985976505263861,0.00741259433096625,10.289760552485541,0.022669936403557855,6.263206220644561,0.0,0.0361935780163742,0.0556264214818694,1.0559200636080877,0.04236122832814455,-0.07333293475589812,0.0,442.6670068014774,441.5814271898639,441.8709598403689,443.0304209625998
0.5400000000000001,0.006529805705198651,0.011164595236141293,10.353352413075603,0.02469199088864027,6.258399947372027,0.0,0.04900243456931243,0.06965201366391048,1.0637869410769396,0.004334528093826326,-0.09922208302106374,0.0,409.9170755666515,407.6040677406814,408.6862472943895,405.28357771216076
0.6000000000000002,0.009945408069231478,0.01579800302145972,10.417875743051221,0.02517279337978895,6.2522308852206905,0.0,0.06539870120773623,0.08482806340375956,1.0869523380479065,0.014508599979741826,-0.11119734903871685,0.0,412.4943022850595,411.42533136055687,413.8041398352251,414.69858454362975
0.6600000000000003,0.01454233049759076,0.021417238431079705,10.486328082134394,0.02553963036067408,6.2454759178284505,0.0,0.08852088651541402,0.1025510321197434,1.1946590875863996,-0.021453463893594912,-0.11550573476486092,0.0,440.894409698086,440.5269486455287,442.2401969483112,439.2683863290868
0.7200000000000003,0.020714944637766037,0.028128555621164356,10.562422067138746,0.024028171958670796,6.238414619412865,0.0,0.11798824710221363,0.12100309445942124,1.3416169263669326,-0.03397050281072122,-0.12245099120263349,0.0,453.63977349306566,453.0696183974459,453.62771972477816,452.6214611110417
0.7800000000000004,0.028879991513428228,0.03594497431382292,10.648793319557923,0.021702315981120712,6.231581559496931,0.0,0.15498722294410092,0.13928614197783462,1.5371463392355438,-0.05067399010458999,-0.10070518700910829,0.0,467.6942694237233,469.37361250350534,468.7633650535723,467.4629689630406
0.8400000000000004,0.039319981393470135,0.04475976201535922,10.744979725191143,0.019415924399075912,6.225413449660428,0.0,0.19365293872569464,0.15425860922309623,1.6688508805967783,-0.020542761757054332,-0.10736057702365827,0.0,449.69665913101994,449.1481879544274,448.4614570308793,450.90114028550386
0.9000000000000005,0.05232012949268645,0.05446393645425532,10.850860327168453,0.018273502461605418,6.219455660978955,0.0,0.2403788568359606,0.16906970009828975,1.8601649086851315,-0.01619342749579881,-0.0867271202011321,0.0,466.6898224837026,468.2892474384984,468.59422222267784,468.93224021282134
0.9600000000000005,0.06815604534139395,0.06500219857564568,10.966637459445447,0.017083439321346816,6.214523121045907,0.0,0.28801260996794525,0.18208494856393892,1.9988000192059343,-0.028346386855968457,-0.07443679462840348,0.0,452.1010407806061,453.0847293638064,453.6714445157768,452.6946755781659
1.0200000000000005,0.08658382081863632,0.07620289749163903,11.085398147854951,0.01532886034806591,6.209804009571037,0.0,0.3266215950809998,0.19113081531805207,1.9599280227604166,-0.0310989929774656,-0.08879371662543378,0.0,396.01955192564145,394.69090306787825,394.94429865908234,394.68997339988084
1.0800000000000005,0.10778026189106259,0.08799183926316224,11.206822303601161,0.013665040928200867,6.2039406178085805,0.0,0.3804855097798966,0.20164259177456895,2.0872693950306167,-0.021726059727310863,-0.12909535494020843,0.0,451.74823196446084,448.47783136410607,449.34699704407683,450.1059380608495
1.1400000000000006,0.13215836474475212,0.1003465845620242,11.33358282005121,0.012108836950900148,6.196388981277238,0.0,0.43283032192737386,0.21004552804467022,2.1379189429442125,-0.03607164249652968,-0.12007534506030877,0.0,425.84293346727566,426.59856142678984,426.5813868737339,425.35447041830554
